ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day,CATEGORY_encoded,WHSEID_encoded,BRAND_encoded,Week_encoded
2023-01-11,DRY,BKD1,RITZ,-0.09892389233651351,-0.3373951810600118,3.Wednesday,11,0,0,10,2
2023-01-11,DRY,BKD1,SLIDE,1.6987419989706545,2.292314374050657,3.Wednesday,11,0,0,11,2
2023-01-11,TET,BKD1,HAMPER,-0.3307858728266361,0.6226097633316532,3.Wednesday,11,3,0,3,2
2023-01-11,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,3.Wednesday,11,2,0,13,2
2023-01-11,TET,BKD1,AFC,-0.3755827843253417,-0.38049692030303084,3.Wednesday,11,3,0,0,2
2023-01-11,TET,BKD1,COSY,-0.308861960631295,0.19061403504364266,3.Wednesday,11,3,0,2,2
2023-01-11,TET,BKD1,KOKO,-0.3900089083672978,-0.5250681331876046,3.Wednesday,11,3,0,7,2
2023-01-11,TET,BKD1,LU,-0.18329773623979595,0.4978192700355543,3.Wednesday,11,3,0,8,2
2023-01-11,TET,BKD1,OREO,-0.3824162115031104,-0.18512994105641584,3.Wednesday,11,3,0,9,2
2023-01-11,TET,BKD1,SOLITE,-0.28276206516065083,-0.20565649694769306,3.Wednesday,11,3,0,12,2
2023-01-12,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,4.Thursday,12,1,0,5,3
2023-01-12,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,4.Thursday,12,1,0,6,3
2023-01-12,DRY,BKD1,LU,0.5226332547080271,-0.2546501348488292,4.Thursday,12,0,0,8,3
2023-01-12,DRY,BKD1,RITZ,-0.03049471184802462,-0.4830718702863326,4.Thursday,12,0,0,10,3
2023-01-12,DRY,BKD1,SLIDE,1.5838075501890179,2.586152107743708,4.Thursday,12,0,0,11,3
2023-01-12,TET,BKD1,HAMPER,-0.36367174111964773,0.15747743236858233,4.Thursday,12,3,0,3,3
2023-01-12,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,4.Thursday,12,2,0,14,3
2023-01-12,TET,BKD1,AFC,-0.3616312038373974,-0.28265855695203385,4.Thursday,12,3,0,0,3
2023-01-12,TET,BKD1,COSY,-0.3672308177747356,-0.34469573147906263,4.Thursday,12,3,0,2,3
2023-01-12,TET,BKD1,KOKO,-0.3881107341512509,-0.5250560878639602,4.Thursday,12,3,0,7,3
2023-01-12,TET,BKD1,LU,-0.004299907666578106,1.5763252847115392,4.Thursday,12,3,0,8,3
2023-01-12,TET,BKD1,OREO,-0.3833652986111338,-0.43850932242072316,4.Thursday,12,3,0,9,3
2023-01-12,TET,BKD1,SOLITE,-0.15957055853921034,0.037776326569061415,4.Thursday,12,3,0,12,3
2023-01-12,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,4.Thursday,12,2,0,13,3
2023-01-13,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,5.Friday,13,2,0,14,4
2023-01-13,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,5.Friday,13,1,0,5,4
2023-01-13,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,5.Friday,13,1,0,6,4
2023-01-13,DRY,BKD1,LU,0.08111793205553008,-0.3943001176744433,5.Friday,13,0,0,8,4
2023-01-13,DRY,BKD1,RITZ,-0.07215963589025295,-0.524299785361943,5.Friday,13,0,0,10,4
2023-01-13,TET,BKD1,HAMPER,-0.3828907550571221,-0.3484534891647618,5.Friday,13,3,0,3,4
2023-01-13,TET,BKD1,AFC,-0.3786198630710167,-0.4348819323333336,5.Friday,13,3,0,0,4
2023-01-13,TET,BKD1,COSY,-0.34919816272229054,-0.05094310805723054,5.Friday,13,3,0,2,4
2023-01-13,TET,BKD1,KOKO,-0.3900089083672978,-0.5250681331876046,5.Friday,13,3,0,7,4
2023-01-13,TET,BKD1,LU,-0.27070865888875334,0.2898188201821518,5.Friday,13,3,0,8,4
2023-01-13,TET,BKD1,OREO,-0.3888700038376697,-0.4905786013070347,5.Friday,13,3,0,9,4
2023-01-13,TET,BKD1,SOLITE,-0.23113172648417654,0.1613540356730171,5.Friday,13,3,0,12,4
2023-01-13,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,5.Friday,13,2,0,13,4
2023-01-14,DRY,BKD1,RITZ,-0.1396397292707184,-0.5244841000373769,6.Saturday,14,0,0,10,5
2023-01-14,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,6.Saturday,14,2,0,14,5
2023-01-14,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,6.Saturday,14,1,0,5,5
2023-01-14,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,6.Saturday,14,1,0,6,5
2023-01-14,DRY,BKD1,LU,-0.014360231011626404,0.7341616851864851,6.Saturday,14,0,0,8,5
2023-01-14,TET,BKD1,HAMPER,-0.35968557526594935,-0.16160312131044785,6.Saturday,14,3,0,3,5
2023-01-14,TET,BKD1,SOLITE,-0.3102855912933301,0.058332693257640476,6.Saturday,14,3,0,12,5
2023-01-14,TET,BKD1,AFC,-0.38640237735680877,-0.49145327650555815,6.Saturday,14,3,0,0,5
2023-01-14,TET,BKD1,COSY,-0.38526347282718065,-0.3273329520031803,6.Saturday,14,3,0,2,5
2023-01-14,TET,BKD1,KOKO,-0.3900089083672978,-0.5250681331876046,6.Saturday,14,3,0,7,5
2023-01-14,TET,BKD1,LU,-0.1505542310129878,0.8806067977377486,6.Saturday,14,3,0,8,5
2023-01-14,TET,BKD1,OREO,-0.3900089083672978,-0.5250681331876046,6.Saturday,14,3,0,9,5
2023-01-14,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,6.Saturday,14,2,0,13,5
2023-01-15,DRY,BKD1,OREO,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,0,0,9,6
2023-01-15,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,1,0,5,6
2023-01-15,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,1,0,6,6
2023-01-15,DRY,BKD1,SOLITE,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,0,0,12,6
2023-01-15,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,2,0,14,6
2023-01-15,DRY,BKD1,COSY,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,0,0,2,6
2023-01-15,DRY,BKD1,KINH DO BISCUIT,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,0,0,4,6
2023-01-15,DRY,BKD1,LU,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,0,0,8,6
2023-01-15,DRY,BKD1,RITZ,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,0,0,10,6
2023-01-15,TET,BKD1,LU,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,3,0,8,6
2023-01-15,TET,BKD1,HAMPER,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,3,0,3,6
2023-01-15,DRY,BKD1,AFC,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,0,0,0,6
2023-01-15,TET,BKD1,SOLITE,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,3,0,12,6
2023-01-15,TET,BKD1,OREO,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,3,0,9,6
2023-01-15,DRY,BKD1,SLIDE,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,0,0,11,6
2023-01-15,TET,BKD1,COSY,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,3,0,2,6
2023-01-15,TET,BKD1,AFC,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,3,0,0,6
2023-01-15,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,2,0,13,6
2023-01-15,TET,BKD1,KOKO,-0.3900089083672978,-0.5250681331876046,7.Sunday,15,3,0,7,6
2023-01-16,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,1.Monday,16,2,0,14,0
2023-01-16,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,1.Monday,16,1,0,5,0
2023-01-16,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,1.Monday,16,1,0,6,0
2023-01-16,DRY,BKD1,LU,-0.1286303188176467,0.10893882191705687,1.Monday,16,0,0,8,0
2023-01-16,DRY,BKD1,RITZ,-0.21063144495087058,-0.5246494395139115,1.Monday,16,0,0,10,0
2023-01-16,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,1.Monday,16,2,0,13,0
2023-01-16,TET,BKD1,HAMPER,-0.376484417077964,-0.2715922974415733,1.Monday,16,3,0,3,0
2023-01-16,TET,BKD1,COSY,-0.3786198630710167,-0.4307825595672304,1.Monday,16,3,0,2,0
2023-01-16,TET,BKD1,KOKO,-0.3900089083672978,-0.5250681331876046,1.Monday,16,3,0,7,0
2023-01-16,TET,BKD1,LU,-0.2818129780526274,0.04918569169380119,1.Monday,16,3,0,8,0
2023-01-16,TET,BKD1,OREO,-0.3900089083672978,-0.5250681331876046,1.Monday,16,3,0,9,0
2023-01-16,TET,BKD1,SOLITE,-0.23929387561317797,0.037538708656327115,1.Monday,16,3,0,12,0
2023-01-16,TET,BKD1,AFC,-0.3900089083672978,-0.5250681331876046,1.Monday,16,3,0,0,0
2023-01-17,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,2.Tuesday,17,2,0,14,1
2023-01-17,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,2.Tuesday,17,1,0,5,1
2023-01-17,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,2.Tuesday,17,1,0,6,1
2023-01-17,DRY,BKD1,LU,-0.34521199686859216,-0.3161805827739945,2.Tuesday,17,0,0,8,1
2023-01-17,DRY,BKD1,RITZ,-0.31436666585783085,-0.5248772606997443,2.Tuesday,17,0,0,10,1
2023-01-17,DRY,BKD1,SLIDE,0.692235120911813,1.2338178780243727,2.Tuesday,17,0,0,11,1
2023-01-17,TET,BKD1,HAMPER,-0.3895818191686872,-0.5139998267191259,2.Tuesday,17,3,0,3,1
2023-01-17,MOONCAKE,BKD1,THU,-0.3900089083672978,-0.5250681331876046,2.Tuesday,17,2,0,13,1
2023-01-17,TET,BKD1,COSY,-0.3900089083672978,-0.5250681331876046,2.Tuesday,17,3,0,2,1
2023-01-17,TET,BKD1,KOKO,-0.3900089083672978,-0.5250681331876046,2.Tuesday,17,3,0,7,1
2023-01-17,TET,BKD1,LU,-0.319681553662762,-0.14307489144637733,2.Tuesday,17,3,0,8,1
2023-01-17,TET,BKD1,OREO,-0.3900089083672978,-0.5250681331876046,2.Tuesday,17,3,0,9,1
2023-01-17,TET,BKD1,SOLITE,-0.27080356759955565,0.14785623745571963,2.Tuesday,17,3,0,12,1
2023-01-17,TET,BKD1,AFC,-0.3900089083672978,-0.5250681331876046,2.Tuesday,17,3,0,0,1
2023-01-18,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,3.Wednesday,18,2,0,14,2
2023-01-18,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,3.Wednesday,18,1,0,5,2
